sessionID	subjectID	testID	trialID	itemID	type	polarity	response	RT	respKey	responseData	trialData	version	timestamp	source

4	24HRG	LOGON	0			0		0					9.6.2022 16:5 GMT+0200	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	2	H2B23	HUPNO	0	POS	3083	6	pos:6,neg:1	hilfreich,Anerkennung,Unverdientes,für,ist,falsch,block:1	1.0	16:7:4	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	3	H1B21	HUPNS	0	POS	2943	6	pos:6,neg:1	verletzen,Tim,möchte,Menschen,andere,unterstützen,block:1	1.0	16:7:7	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	4	H3B05	HUPNS	0	POS	3177	6	pos:6,neg:5	Freund,Tim,wird,seinen,ausnutzen,bestärken,block:1	1.0	16:7:10	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	5	N10_V2_8PN	N	-1	NEU	4322	5	pos:1,neg:5	Frühling ,im,Geburtstag,mein,Sommer,ist	1.0	16:7:14	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	6	JC2B04	JUPNO	0	POS	3014	6	pos:6,neg:1	gesichert,wird,Macht,am,besten,aufgeteilt,block:1	1.0	16:7:18	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	7	H10A18	HUPNS	0	POS	3519	3	pos:3,neg:1	aufregend,andere,beunruhigend,zu,verletzen,ist,block:1	1.0	16:7:22	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	8	H5B09	HUPNS	0	NEG	3907	2	pos:4,neg:2	anvertraute,einsetzen,Geheimnisse,behüten,kann,man,block:1	1.0	16:7:25	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	9	H1A20	HUPNS	0	NEG	2520	6	pos:1,neg:6	trösten,Tim,wird,Menschen,notleidende,ignorieren,block:1	1.0	16:7:30	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	10	JT9A17	JUPNO	0	POS	3873	6	pos:6,neg:4	ethische,Grenzen,sind,Erfindung,eine,Notwendigkeit,block:1	1.0	16:7:32	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	11	JM3B06	JUPNS	0	POS	3232	6	pos:6,neg:5	schädigen,andere,zu,ist,unvermeidlich,verboten,block:1	1.0	16:7:37	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	12	H2A02	HUPNS	0	POS	2874	1	pos:1,neg:6	lobenswert,findet,Hilfsorganisationen,Tim,heutzutage,sinnlos,block:1	1.0	16:7:40	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	13	N4r_V2_3PN	N	1	NEU	3282	5	pos:5,neg:6	Kinder,im,die,spielen,Wasser,Sand	1.0	16:7:43	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	14	H7A12	HUPNS	0	NEG	5019	6	pos:2,neg:6	absichtlich,gestreichelt,wird,Hund,der,getreten,block:1	1.0	16:7:47	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	15	N6_V2_4PN	N	-1	NEU	2922	2	pos:1,neg:2	Motorrad ,Fahrrad,fahre,dem,mit,ich	1.0	16:7:52	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	16	H8B15	HUPNS	0	POS	3473	5	pos:5,neg:1	lustig,andere,verspotten,zu,unzulänglich,ist,block:1	1.0	16:7:55	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	17	H1B01	HUPNS	0	POS	3556	6	pos:6,neg:1	idiotisch,Dinge,zu,teilen,ist,schön,block:1	1.0	16:7:59	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	18	JT8B16	JUPNO	0	NEG	3866	1	pos:5,neg:1	erfunden,Erzählungen,Ehrlichkeit,über,inspirierend,sind,block:1	1.0	16:8:3	138.232.1.198
4	24HRG	SST_DarkPersonality_V1	19	H10B19	HUPNS	0	POS	4897	1	pos:1,neg:3	böse,von,schlau,anderen,profitieren,ist,block:1	1.0	16:8:7	138.232.1.198
