sessionID	subjectID	Age	Sex	Edu	Occupation	RiskAttitude	timestamp	source

4	24HRG	45	female	abitur	3000	4	9.6.2022 16:5 GMT+0200	138.232.1.198
8	21RNR	20	female	abitur	500	5	9.6.2022 19:43 GMT+0200	83.175.70.75
9	06JMJ	25	male	bachelor	500	5	9.6.2022 19:43 GMT+0200	138.232.236.33
13	04BPD	19	female	abitur	500	3	9.6.2022 20:11 GMT+0200	83.175.66.101
14	16LSP	26	male	bachelor	3000	3	9.6.2022 20:16 GMT+0200	85.90.136.172
15	08HTW	28	female	bachelor	3000	3	9.6.2022 20:31 GMT+0200	83.175.70.80
16	13KEA	19	female	abitur	500	4	9.6.2022 20:35 GMT+0200	213.225.37.178
17	22ZMF	21	female	abitur	500	2	9.6.2022 20:36 GMT+0200	84.115.230.169
21	09GRS	18	female	abitur	500	3	6/9/2022 21:10 GMT+0200	91.13.217.115
19	09MSG	30	female	master	2300	5	9.6.2022 21:14 GMT+0200	83.215.253.63
22	19FCA	21	female	abitur	500	3	9.6.2022 21:15 GMT+0200	83.175.108.239
25	12ICS	19	female	abitur	500	4	9.6.2022 21:31 GMT+0200	80.121.34.180
26	14WMG	26	male	ausbildung	1000	5	9.6.2022 21:39 GMT+0200	84.115.225.28
27	15HAW	22	female	abitur	500	1	9.6.2022 21:46 GMT+0200	91.113.118.104
28	02ISG	23	female	abitur	500	2	9.6.2022 22:2 GMT+0200	178.165.195.117
29	02ISG	23	female	abitur	500	2	9.6.2022 22:8 GMT+0200	178.165.195.117
30	15DJG	21	female	abitur	500	2	09/06/2022 22:10 GMT+0200	213.162.73.126
32	20HSP	27	female	master	1700	3	9.6.2022 22:12 GMT+0200	62.240.134.94
33	19IRK	21	female	abitur	1000	5	9.6.2022 22:13 GMT+0200	91.114.236.225
34	05WSS	23	female	abitur	500	3	9.6.2022 22:13 GMT+0200	84.115.236.71
36	30ICA	24	male	abitur	500	4	9.6.2022 22:24 GMT+0200	213.47.176.12
37	16HHM	19	female	abitur	500	2	9.6.2022 22:33 GMT+0200	83.175.70.84
31	28LEF	24	male	bachelor	500	5	9.6.2022 22:40 GMT+0200	84.115.233.232
40	04IAR	21	female	bachelor	500	2	9.6.2022 22:56 GMT+0200	91.141.41.169
41	03FMH	23	female	abitur	500	4	9.6.2022 23:1 GMT+0200	213.162.80.18
43	14TDA	20	male	abitur	500	4	9.6.2022 23:18 GMT+0200	94.216.4.107
44	18VCM	19	female	abitur	500	2	9.6.2022 23:22 GMT+0200	217.149.164.213
45	06ICJ	24	male	abitur	4500	5	9.6.2022 23:26 GMT+0200	94.198.137.151
46	06ICJ	24	male	abitur	4500	5	9.6.2022 23:27 GMT+0200	94.198.137.151
47	24LDR	22	female	abitur	500	4	9.6.2022 23:34 GMT+0200	84.115.225.18
48	04BMW	19	female	abitur	4500	2	6/9/2022 23:41 GMT+0200	84.158.250.243
49	17GVA	21	female	abitur	1000	2	10.6.2022 0:18 GMT+0200	93.66.167.164
51	22IMA	20	female	abitur	500	3	10/06/2022 0:34 GMT+0200	80.109.161.101
52	20SLK	24	female	abitur	500	3	10/06/2022 0:46 GMT+0200	37.4.230.45
54	17AAA	20	female	abitur	500	4	10.6.2022 2:10 GMT+0200	83.175.70.74
56	02LGH	20	female	abitur	500	3	10.6.2022 7:19 GMT+0200	81.189.241.125
57	01HUM	19	male	abitur	500	2	10.6.2022 7:30 GMT+0200	89.105.167.38
